a	aː
afdeling	a v t ɛ l i ŋ k
afdrep	a v t r ɛ p
afdráttarlausa	a v t r au h t a r l œyː s a
afdráttarlausar	a v t r au h t a r l œyː s a r
afdráttarlausir	a v t r au h t a r l œyː s ɪ r
afdráttarlaust	a v t r au h t a r l œy s t
afeitrun	a f ei t r ʏ n
afeyjarhólar	a v ei j a r h ouː l a r
afferma	a f ɛ r m a
affermingin	a f ɛ r m i ɲ c ɪ n
afföll	a f œ t l̥
afföllin	a f œ t l ɪ n
afgamlar	a v k a m l a r
afgan	a v k a n
afgana	a v k a n a
afganarefur	a v k a n a r ɛː v ʏ r
afgang	a v k au ŋ k
afgangi	a v k au ɲ c ɪ
afganginn	a v k au ɲ c ɪ n
afgangur	a v k au ŋ k ʏ r
afgangurinn	a v k au ŋ k ʏ r ɪ n
afganistan	a v k a n ɪ s t a n
afgasið	a v k a s ɪ ð
afgerandi	a v c ɛ r a n t ɪ
afghanistan	a v k h a n ɪ s t a n
afglapaorð	a v k l aː p a ɔ r ð
afglapaskarð	a v k l aː p a s k a r ð
afglapi	a v k l aː p ɪ
afgreidd	a v k r ei t
afgreiddar	a v k r ei t a r
afgreiddi	a v k r ei t ɪ
afgreitt	a v k r ei h t
afgreiða	a v k r ei ð a
afgreiðslu	a v k r ei ð s t l ʏ
afgreiðslukassa	a v k r ei ð s t l ʏ k a s a
afgreiðslumaðurinn	a v k r ei ð s t l ʏ m aː ð ʏ r ɪ n
afgreiðsluna	a v k r ei ð s t l ʏ n a
afgreiðslunni	a v k r ei ð s t l ʏ n ɪ
afgreiðslustúlkan	a v k r ei ð s t l ʏ s t u l̥ k a n
afgreiðslutíma	a v k r ei ð s t l ʏ t iː m a
afgömlum	a v k œ m l ʏ m
afgönum	a v k œ n ʏ m
afhausaður	aː v h œyː s a ð ʏ r
afhenda	aː v h ɛ n t a
afhending	aː v h ɛ n t i ŋ k
afhendingu	aː v h ɛ n t i ŋ k ʏ
afhendir	aː v h ɛ n t ɪ r
afhent	aː v h ɛ n̥ t
afhentar	aː v h ɛ n̥ t a r
afhenti	aː v h ɛ n̥ t ɪ
afhentu	aː v h ɛ n̥ t ʏ
afhentur	aː v h ɛ n̥ t ʏ r
afhjúpa	a f ç u p a
afhjúpar	a f ç u p a r
afhjúpaði	a f ç u p a ð ɪ
afhjúpun	a f ç u p ʏ n
afhleðsla	a f l̥ ɛ ð s t l a
afholur	aː v h ɔː l ʏ r
afhroð	a f r̥ ɔ ð
afhuga	aː v h ʏ ɣ a
afhverju	aː v kʰ v ɛ r j ʏ
afhöfða	aː f h œ v ð a
afhöggnar	aː f h œ k n a r
afi	aː v ɪ
afjóna	a f j ou n a
afjónað	a f j ouː n a ð
afjónaðs	a f j ouː n a ð s
afjónunartæki	a f j ouː n ʏ n a r t aiː c ɪ
afjónunartækjum	a f j ouː n ʏ n a r t aiː c ʏ m
afkastagetu	a v k a s t a c ɛː t ʏ
afkastameiri	a v k a s t a m eiː r ɪ
afkastamestu	a v k a s t a m ɛ s t ʏ
afkastamikil	a v k a s t a m ɪː c ɪ l
afkastamikill	a v k a s t a m ɪː c ɪ t l̥
afkastaði	a v k a s t a ð ɪ
afklæddist	a v k l ai t ɪ s t
afklæða	a v k l ai ð a
afklæðast	a v k l ai ð a s t
afkolun	a v k ɔ l ʏ n
afkoma	a v k ɔ m a
afkomandi	a v k ɔ m a n t ɪ
afkomenda	a v k ɔ m ɛ n t a
afkomendunum	a v k ɔ m ɛ n t ɔ n ʏ m
afkomendur	a v k ɔ m ɛ n t ʏ r
afkringdist	a v k r i ŋ t ɪ s t
afkróuð	a v k r ou ʏ ð
afkvæmi	a v k v ai m ɪ
afkvæmin	a v k v ai m ɪ n
afkvæminu	a v k v ai m ɪ n ʏ
afkvæmið	a v k v ai m ɪ ð
afkvæmum	a v k v ai m ʏ m
afkvæmunum	a v k v ai m ɔ n ʏ m
afkóða	a v k ou ð a
afköst	a v k œ s t
afköstum	a v k œ s t ʏ m
afl	a p l̥
afla	a p l a
aflabrestur	a p l a p r ɛ s t ʏ r
aflabrögð	a p l a p r œ ɣ ð
afladagbækurnar	a p l a t a ɣ p aiː k ʏ t n a r
afladagbókum	a p l a t a ɣ p ou k ʏ m
aflaga	a p l a k a
aflagast	a p l a ɣ a s t
aflaheimilda	a p l a h eiː m ɪ l t a
aflaheimildir	a p l a h eiː m ɪ l t ɪ r
aflandskróna	a p l a n s k r ouː n a
aflandskrónum	a p l a n s k r ouː n ʏ m
aflann	a p l a n
aflar	a p l a r
aflaskip	a p l a s c ɪː p
aflatoxín	a p l a tʰ ɔ k s i n
aflaverðmæti	a p l a v ɛ r ð m ai t ɪ
aflað	a p l a ð
aflaði	a p l a ð ɪ
afleidd	a v l ei t
afleiningu	a v l ei n i ŋ k ʏ
afleitar	a v l ei t a r
afleitur	a v l ei t ʏ r
afleiðing	a v l ei ð i ŋ k
afleiðinga	a v l ei ð i ŋ k a
afleiðinganna	a v l ei ð i ŋ k a n a
afleiðingar	a v l ei ð i ŋ k a r
afleiðingarnar	a v l ei ð i ŋ k a t n a r
afleiðingin	a v l ei ð i ɲ c ɪ n
afleiðingu	a v l ei ð i ŋ k ʏ
afleiðingum	a v l ei ð i ŋ k ʏ m
afleiðslurök	a v l ei ð s t l ʏ r œː k
afleiðu	a v l ei ð ʏ
afleiður	a v l ei ð ʏ r
afleiðurnar	a v l ei ð ʏ t n a r
afleiðusamningar	a v l ei ð ʏ s a m n i ŋ k a r
aflfræði	a v l f r ai ð ɪ
aflhiis	a p l ɪ ɪ s
afli	a p l ɪ
aflima	a v l ɪ m a
aflimaði	a v l ɪː m a ð ɪ
aflmikil	a v l m ɪː c ɪ l
aflmiklar	a v l m ɪ h k l a r
aflnemar	a v l n ɛ m a r
aflokið	a v l ɔ c ɪ ð
afls	a p l̥ s
aflsins	a v l s ɪ n s
aflsmun	a p l̥ s m ʏ n
aflsmunar	a p l̥ s m ʏː n a r
afltöp	a v l t œ p
aflvakinn	a v l v aː c ɪ n
aflvéla	a v l v j ɛː l a
afláts	a v l au t s
aflétt	a v l j ɛ h t
aflétta	a v l j ɛ h t a
aflétti	a v l j ɛ h t ɪ
afléttingar	a v l j ɛ h t i ŋ k a r
aflífa	a v l i v a
aflífaður	a v l i v a ð ʏ r
aflíðandi	a v l i ð a n t ɪ
aflögu	a v l œ ɣ ʏ
aflögun	a v l œ ɣ ʏ n
aflögunarsvið	a v l œ ɣ ʏ n a r s v ɪː ð
aflögunin	a v l œ ɣ ʏ n ɪ n
aflöng	a v l œy ŋ k
aflýsa	a v l i s a
aflýsir	a v l i s ɪ r
aflýst	a v l i s t
aflþéttleikinn	a v l θ j ɛ h t l ei c ɪ n
afmarka	a v m a r̥ k a
afmarkar	a v m a r̥ k a r
afmarkast	a v m a r̥ k a s t
afmarkaðan	a v m a r̥ k a ð a n
afmarkaðar	a v m a r̥ k a ð a r
afmarkaðir	a v m a r̥ k a ð ɪ r
afmarkaðist	a v m a r̥ k a ð ɪ s t
afmarkaðs	a v m a r̥ k a ð s
afmarkaður	a v m a r̥ k a ð ʏ r
afmá	a v m au
afmáir	a v m au ɪ r
afmást	a v m au s t
afmáðst	a v m au ð s t
afmæli	a m ai l ɪ
afmælinu	a m ai l ɪ n ʏ
afmælis	a m ai l ɪ s
afmælisbörnum	a m ai l ɪ s p œ r t n ʏ m
afmælisdag	a m ai l ɪ s t a ɣ
afmælisdagar	a m ai l ɪ s t a ɣ a r
afmælisdaginn	a m ai l ɪ s t ai j ɪ n
afmælisdagur	a m ai l ɪ s t a ɣ ʏ r
afmælisdegi	a m ai l ɪ s t ei j ɪ
afmælisdeginum	a m ai l ɪ s t ei j ɪ n ʏ m
afmælisdögum	a m ai l ɪ s t œː ɣ ʏ m
afmælisgjafir	a m ai l ɪ s c aː v ɪ r
afmælisgjöf	a m ai l ɪ s c œ v
afmælisglímu	a m ai l ɪ s k l iː m ʏ
afmæliskveðja	a m ai l ɪ s k v ɛ ð j a
afmæliskveðju	a m ai l ɪ s k v ɛ ð j ʏ
afmælisrit	a m ai l ɪ s r ɪ t
afmælisveisla	a m ai l ɪ s v ei s t l a
afmælisveisluna	a m ai l ɪ s v ei s t l ʏ n a
afmælisári	a m ai l ɪ s auː r ɪ
afmælisárinu	a m ai l ɪ s auː r ɪ n ʏ
afmælum	a m ai l ʏ m
afmörkuð	a v m œ r̥ k ʏ ð
afmörkuðu	a v m œ r̥ k ʏ ð ʏ
afmörkuðum	a v m œ r̥ k ʏ ð ʏ m
afmýling	a v m i l i ŋ k
afneita	a v n ei t a
afneitar	a v n ei t a r
afneitaði	a v n ei t a ð ɪ
afneitun	a v n ei t ʏ n
afnumdir	a v n ʏ m t ɪ r
afnumin	a v n ʏ m ɪ n
afnumið	a v n ʏ m ɪ ð
afnám	a v n au m
afnámi	a v n au m ɪ
afnæmismeðferð	a v n ai m ɪ s m ɛ ð f ɛ r ð
afoxun	a f ɔ k s ʏ n
afoxunar	a f ɔ k s ʏ n a r
afpanta	a v p a n̥ t a
afplánun	a v p l au n ʏ n
afrakstrinum	a v r a k s t r ɪ n ʏ m
afrakstur	a v r a k s t ʏ r
afraksturinn	a v r a k s t ʏ r ɪ n
afrek	a v r ɛ k
afreka	a v r ɛ k a
afrekað	a v r ɛ k a ð
afreki	a v r ɛ c ɪ
afreksfólk	a v r ɛ x s f ou l̥ k
afreksmaður	a v r ɛ x s m aː ð ʏ r
afreksverk	a v r ɛ k s v ɛ r̥ k
afrekum	a v r ɛ k ʏ m
afrekuðu	a v r ɛ k ʏ ð ʏ
afrennsli	a v r ɛ n s t l ɪ
afritað	a v r ɪ t a ð
afritun	a v r ɪ t ʏ n
afrituð	a v r ɪ t ʏ ð
afruglarann	a v r ʏ k l a r a n
afruglað	a v r ʏ k l a ð
afrán	a v r au n
afráni	a v r au n ɪ
afráð	a v r au ð
afráðið	aː f r auː ð ɪ ð
afræningja	a v r ai n i ɲ c a
afræningjum	a v r ai n i ɲ c ʏ m
afréttarbolli	a v r j ɛ h t a r p ɔ t l ɪ
afréttarhaus	a v r j ɛ h t a r h œyː s
afréttarskarð	a v r j ɛ h t a r s k a r ð
afréttarárdrög	a v r j ɛ h t a r au r t r œː ɣ
afréttinn	a v r j ɛ h t ɪ n
afréttisá	a v r j ɛ h t ɪ s au
afréttur	a v r j ɛ h t ʏ r
afríka	aː f r i k a
afríku	aː f r i k ʏ
afríkufíla	aː f r i k ʏ f iː l a
afríkufílinn	aː f r i k ʏ f i l ɪ n
afríkufíllinn	aː f r i k ʏ f i t l ɪ n
afríkulýðveldinu	aː f r i k ʏ l i ð v ɛ l t ɪ n ʏ
afríkuríki	aː f r i k ʏ r iː c ɪ
afríkuríkja	aː f r i k ʏ r i c a
afríkönsku	aː f r i k œ n s k ʏ
afríska	aː f r i s k a
afríski	aː f r i s c ɪ
afrískir	aː f r i s c ɪ r
afrískra	aː f r i s k r a
afrískur	aː f r i s k ʏ r
afró	a v r ou
afródíta	a v r ou t i t a
afsagnar	a f s a k n a r
afsaka	a f s a k a
afsakanayfirklór	a f s a k a n a ɪ v ɪ r kʰ l ouː r
afsakandi	a f s a k a n t ɪ
afsakanir	a f s a k a n ɪ r
afsakar	a f s a k a r
afsakaða	a f s a k a ð a
afsakaðu	a f s a k a ð ʏ
afsakið	a f s a c ɪ ð
afsalað	a f s a l a ð
afsalaði	a f s a l a ð ɪ
afsanna	a f s a n a
afsannanleiki	a f s a n a n l eiː c ɪ
afsannað	a f s a n a ð
afskaplega	a f s k a p l ɛ ɣ a
afskekkta	a f s c ɛ x t a
afskekktri	a f s c ɛ x t r ɪ
afskekktum	a f s c ɛ x t ʏ m
afskekktur	a f s c ɛ x t ʏ r
afskipta	a f s c ɪ f t a
afskiptalausan	a f s c ɪ f t a l œyː s a n
afskiptaleysi	a f s c ɪ f t a l eiː s ɪ
afskiptasemi	a f s c ɪ f t a s ɛː m ɪ
afskipti	a f s c ɪ f t ɪ
afskiptum	a f s c ɪ f t ʏ m
afskrifað	a v s k r ɪ v a ð
afskrifaðar	a v s k r ɪ v a ð a r
afskrifta	a v s k r ɪ f t a
afskriftastofn	a v s k r ɪ f t a s t ɔ p n̥
afskriftum	a v s k r ɪ f t ʏ m
afskrá	a f s k r au
afskræmdur	a f s k r ai m t ʏ r
afskræmilega	a f s k r ai m ɪ l ɛ ɣ a
afskræmilegu	a f s k r ai m ɪ l ɛ ɣ ʏ
afskurð	a v s k ʏ r ð
afskurðar	a v s k ʏ r ð a r
afslappaður	a f s t l a h p a ð ʏ r
afslátt	a f s t l au h t
afsláttinn	a f s t l au h t ɪ n
afslætti	a f s t l ai h t ɪ
afslöppuð	a f s t l œ h p ʏ ð
afsprengi	a f s p r ei ɲ c ɪ
afstapagljúfur	a f s t a p a k l j u v ʏ r
afstapahraun	a f s t a p a r̥ œyː n
afstaða	a f s t a ð a
afsteypan	a f s t ei p a n
afstætt	a f s t ai h t
afstæð	a f s t ai ð
afstæða	a f s t ai ð a
afstæðishyggja	a f s t ai ð ɪ s h ɪ c a
afstæðishyggju	a f s t ai ð ɪ s h ɪ c ʏ
afstæðiskenning	a f s t ai ð ɪ s c ɛ n i ŋ k
afstæðiskenningarinnar	a f s t ai ð ɪ s c ɛ n i ŋ k a r ɪ n a r
afstæðiskenningin	a f s t ai ð ɪ s c ɛ n i ɲ c ɪ n
afstæðiskenningu	a f s t ai ð ɪ s c ɛ n i ŋ k ʏ
afstæðiskenninguna	a f s t ai ð ɪ s c ɛ n i ŋ k ʏ n a
afstæðiskenningunni	a f s t ai ð ɪ s c ɛ n i ŋ k ʏ n ɪ
afstöðu	a f s t œ ð ʏ
afstöðuna	a f s t œː ð ʏ n a
afstýra	a f s t iː r a
afstýrt	a f s t i r̥ t
afstýrðu	a f s t i r ð ʏ
afsíðis	a f s i ð ɪ s
afsögn	a f s œ k n̥
afsökun	a f s œ k ʏ n
afsökunar	a f s œ k ʏ n a r
afsökunarbeiðni	a f s œ k ʏ n a p ei ð n ɪ
afsönnun	a f s œ n ʏ n
aftaka	a f t a k a
aftakaveðri	a f t a k a v ɛ ð r ɪ
aftan	a f t a n
aftanhæð	a f t a n h aiː ð
aftanskin	a f t a n s c ɪ n
aftansöngs	a f t a n s œy ŋ s
aftanverðar	a f t a n v ɛ r ð a r
aftar	a f t a r
aftari	a f t a r ɪ
aftarlega	a f t a r l ɛ ɣ a
aftast	a f t a s t
aftasti	a f t a s t ɪ
aftastur	a f t a s t ʏ r
aftengd	a f t ei ŋ t
aftengdu	a f t ei ŋ t ʏ
aftengja	a f t ei ɲ c a
after	a f t ɛ r
aftni	a f t n ɪ
aftra	a f t r a
aftur	a f t ʏ r
afturbatakommans	a f t ʏ r p a t a kʰ ɔ m a n s
afturbeygðu	a f t ʏ r p ei ɣ ð ʏ
afturbliki	a f t ʏ r p l ɪː c ɪ
afturbol	a f t ʏ r p ɔː l
afturbolnum	a f t ʏ r p ɔ l n ʏ m
afturbols	a f t ʏ r p ɔ l s
afturbolur	a f t ʏ r p ɔː l ʏ r
afturbolurinn	a f t ʏ r p ɔː l ʏ r ɪ n
afturdrifin	a f t ʏ r t r ɪ v ɪ n
afturelding	a f t ʏ r ɛ l t i ŋ k
aftureldingar	a f t ʏ r ɛ l t i ŋ k a r
aftureldingu	a f t ʏ r ɛ l t i ŋ k ʏ
afturenda	a f t ʏ r ɛ n t a
afturendann	a f t ʏ r ɛ n t a n
afturendanum	a f t ʏ r ɛ n t a n ʏ m
afturendi	a f t ʏ r ɛ n t ɪ
afturfótleggi	a f t ʏ r f ouː t l ɛ c ɪ
afturfótum	a f t ʏ r f ouː t ʏ m
afturfótunum	a f t ʏ r f ouː t ɔ n ʏ m
afturganga	a f t ʏ r k au ŋ k a
afturgangan	a f t ʏ r k au ŋ k a n
afturgengni	a f t ʏ r c ei ŋ k n ɪ
afturgengnu	a f t ʏ r c ei ŋ n ʏ
afturgöngum	a f t ʏ r k œy ŋ k ʏ m
afturgönguna	a f t ʏ r k œy ŋ k ʏ n a
afturgöngunni	a f t ʏ r k œy ŋ k ʏ n ɪ
afturgöngunum	a f t ʏ r k œy ŋ k ɔ n ʏ m
afturgöngur	a f t ʏ r k œy ŋ k ʏ r
afturgöngurnar	a f t ʏ r k œy ŋ k ʏ r t n a r
afturhald	a f t ʏ r h a l t
afturhaldsmenn	a f t ʏ r h a l t s m ɛ n
afturhjól	a f t ʏ r ç ou l
afturhlutanum	a f t ʏ r l̥ ʏː t a n ʏ m
afturhryggur	a f t ʏ r r̥ ɪ k ʏ r
afturhvarf	a f t ʏ r kʰ v a r v
afturkalla	a f t ʏ r k a t l a
afturkallanir	a f t ʏ r k a t l a n ɪ r
afturkallar	a f t ʏ r k a t l a r
afturkallaði	a f t ʏ r k a t l a ð ɪ
afturkalli	a f t ʏ r k a t l ɪ
afturkvæmt	a f t ʏ r k v ai m̥ t
afturkölluð	a f t ʏ r k œ t l ʏ ð
afturlappirnar	a f t ʏ r l a h p ɪ t n a r
afturlimum	a f t ʏ r l ɪː m ʏ m
afturlið	a f t ʏ r l ɪ ð
afturlöppunum	a f t ʏ r l œ h p ɔ n ʏ m
afturparti	a f t ʏ r p a r̥ t ɪ
aftursveigt	a f t ʏ r s v ei x t
aftursætinu	a f t ʏ r s aiː t ɪ n ʏ
aftursætisökumennirnir	a f t ʏ r s ai t ɪ s œ k ʏ m ɛ n ɪ t n ɪ r
afturvirka	a f t ʏ r v ɪ r̥ k a
afturábak	a f t ʏ r auː p a k
aftók	a f t ou k
aftöku	a f t œ k ʏ
aftökugil	a f t œ k ʏ c ɪ l
aftökum	a f t œ k ʏ m
aftökuna	a f t œ k ʏ n a
aftökur	a f t œ k ʏ r
aftökustaðnum	a f t œ k ʏ s t a ð n ʏ m
aftökusveit	a f t œ k ʏ s v ei t
aftökusveitirnar	a f t œ k ʏ s v eiː t ɪ t n a r
afundin	aː v ʏ n t ɪ n
afundinn	aː v ʏ n t ɪ n
afurð	aː v ʏ r ð
afurða	aː v ʏ r ð a
afurðina	aː v ʏ r ð ɪ n a
afurðir	aː v ʏ r ð ɪ r
afurðum	aː v ʏ r ð ʏ m
afvegaleitt	a v ɛː ɣ a l ei h t
afvegaleiða	a v ɛː ɣ a l ei ð a
afvopnun	a v ɔ h p n ʏ n
afvopnunin	a v ɔ h p n ʏ n ɪ n
afvötnunarferli	a v œ h t n ʏ n a r f ɛ r t l ɪ
afþakka	a f θ a h k a
afþakkaðir	a f θ a h k a ð ɪ r
afþreying	a f θ r ei j i ŋ k
afþökkuðu	a f θ œ h k ʏ ð ʏ
ag	aː ɣ
aga	aː ɣ a
agalega	aː k a l ɛ ɣ a
agamemnon	aː k a m ɛ m n ɔ n
agamemnons	aː k a m ɛ m n ɔ n s
agata	aː k a t a
agaðir	aː k a ð ɪ r
agaðra	aː ɣ a ð r a
age	a k ɛ
ages	a k ɛ s
aggagagg	a k a k a k
aggi	a c ɪ
aggressjón	a k r ɛ s j ouː n
aggressívt	a k r ɛ s i v t
aginn	aiː j ɪ n
agitera	aiː j ɪ tʰ ɛː r a
agla	a k l a
agli	a k l ɪ
agna	a k n a
agnanna	a k n a n a
agnar	a k n a r
agnarlítil	a k n a r l iː t ɪ l
agnarlítinn	a k n a r l i t ɪ n
agnarsmár	a k n a r s m auː r
agnarsmáu	a k n a r s m auː ʏ
agnarsson	a k n a r̥ s ɔː n
agndofa	a k n t ɔ v a
agne	a k n ɛ
agnea	a k n ɛ a
agnes	a k n ɛ s
agnesarhylur	a k n ɛ s a r h ɪː l ʏ r
agnesi	a k n ɛ s ɪ
agnetu	a k n ɛ t ʏ
agni	a k n ɪ
agninu	a k n ɪ n ʏ
agnir	a k n ɪ r
agnirnar	a k n ɪ t n a r
agnostos	a k n ɔ s t ɔː s
agnostík	a k n ɔ s t i k
agnotos	a k n ɔ t ɔ s
agnúi	a k n u ɪ
agnúði	a k n u ð ɪ
agðir	a ɣ ð ɪ r
agúrkum	aː k u r̥ k ʏ m
agúrkur	aː k u r̥ k ʏ r
ah	a h
aha	aː h a
ahidjo	aː h ɪː t j ɔ
ahmad	aː h m a t
ahmadou	aː h m a t ɔ ʏ
ahmed	aː h m ɛː t
air	a ɪ r
aires	a ɪ r ɛ s
ajna	a j n a
aka	aː k a
akademi	aː k a t ɛ m ɪ
akademísku	aː k a t ɛ m i s k ʏ
akademíu	aː k a t ɛ m i j ʏ
akademíum	aː k a t ɛ m i j ʏ m
akademíuna	aː k a t ɛ m i j ʏ n a
akademíunnar	aː k a t ɛ m i j ʏ n a r
akademíunni	aː k a t ɛ m i j ʏ n ɪ
akademíur	aː k a t ɛ m i j ʏ r
akagi	aː kʰ ai j ɪ
akanvatn	aː k a n v a h t n̥
akasíutré	aː k a s i j ʏ t r j ɛː
akbrautarholt	aː k p r œy t a r h ɔ l̥ t
akfeitur	aː k f ei t ʏ r
akhenaten	aː k h ɛ n a t ɛː n
akhenatenborg	aː k h ɛ n a t ɛː n p ɔ r k
akhenatens	aː k h ɛ n a t ɛ n s
aki	aː c ɪ
akkea	a h k ɛ a
akkeri	a h k ɛ r ɪ
akkerissteinn	a h k ɛ r ɪ s t ei t n̥
akkerið	a h k ɛ r ɪ ð
akkeron	a h k ɛ r ɔː n
akkerum	a h k ɛ r ʏ m
akkilles	a h k ɪ l ɛ s
akkur	a h k ʏ r
akrafjall	aː k r a f j a t l̥
akrahreppi	aː k r a r̥ ɛ h p ɪ
akrahrepps	aː k r a r̥ ɛ h p s
akrahreppur	aː k r a r̥ ɛ h p ʏ r
akrakotsland	aː k r a k ɔ t s t l a n t
akramelur	aː k r a m ɛː l ʏ r
akranes	aː k r a n ɛː s
akranesi	aː k r a n ɛː s ɪ
akraneskaupstaðar	aː k r a n ɛː s k œy p s t a ð a r
akraness	aː k r a n ɛ s
akrar	aː k r a r
akri	aː k r ɪ
akrópólis	aː k r ou p ou l ɪ s
akstaðargil	a k s t aː ð a r c ɪ l
akstaðaá	a k s t aː ð a au
akstur	a k s t ʏ r
aksturinn	a k s t ʏ r ɪ n
aksturlagi	a k s t ʏ r l ai j ɪ
aksturslag	a k s t ʏ r̥ s t l a ɣ
akur	aː k ʏ r
akurbraut	aː k ʏ r p r œy t
akurey	aː k ʏ r eiː
akureyjar	aː k ʏ r ei j a r
akureyjarhólmsgrandi	aː k ʏ r ei j a r h ou l m s k r a n t ɪ
akureyjarsker	aː k ʏ r ei j a s c ɛ r
akureyjarstöng	aː k ʏ r ei j a r s t œy ŋ k
akureyrabæ	aː k ʏ r ei r a p aiː
akureyrar	aː k ʏ r ei r a r
akureyrarnes	aː k ʏ r ei r a r n ɛ s
akureyrarveiki	aː k ʏ r ei r a r v ei c ɪ
akureyrarveikin	aː k ʏ r ei r a r v ei c ɪ n
akureyrarveikina	aː k ʏ r ei r a r v eiː c ɪ n a
akureyri	aː k ʏ r ei r ɪ
akureyringum	aː k ʏ r eiː r i ŋ k ʏ m
akurgarðar	aː k ʏ r k a r ð a r
akurgata	aː k ʏ r k a t a
akurgerði	aː k ʏ r c ɛ r ð ɪ
akurgil	aː k ʏ r c ɪ l
akurhvarf	aː k ʏ r kʰ v a r v
akurhólar	aː k ʏ r h ou l a r
